,train,val,test
155,D1454-2021-03-11_17.24.15,,
156,D1456-2021-03-11_17.47.18,,
157,D1457-2021-03-11_17.56.46,,
158,D1459-2021-03-11_18.15.48,,
159,D1465-2021-03-12_10.09.57,,
160,D1466-2021-03-12_10.18.57,,
161,D1467-2021-03-12_10.26.11,,
162,D1468-2021-03-12_10.34.01,,
163,D1470-2021-03-12_10.49.35,,
164,D1472-2021-03-12_11.03.48,,
165,D1473-2021-03-12_11.11.29,,
166,D1474-2021-03-12_11.19.08,,
167,D1478-2021-03-12_11.53.08,,
168,D1480-2021-03-12_12.08.18,,
169,D1482-2021-03-12_12.23.03,,
170,D1483-2021-03-12_12.31.02,,
171,D1484-2021-03-12_12.38.13,,
172,D1498-2021-03-12_14.32.00,,
173,D1501-2021-03-12_14.54.20,,
174,D1539-2021-03-15_14.52.26,,
175,D1541-2021-03-15_15.09.15,,
176,D1549-2021-03-15_17.22.13,,
177,D1550-2021-03-15_17.30.54,,
178,D1552-2021-03-15_17.48.20,,
179,D1553-2021-03-15_17.58.33,,
180,D1555-2021-03-15_18.18.31,,
181,D1556-2021-03-15_18.26.14,,
182,D1560-2021-03-15_19.15.59,,
183,D1561-2021-03-15_19.24.30,,
184,D1564-2021-03-15_19.52.06,,
185,D1565-2021-03-15_20.03.35,,
186,D1598-2021-03-16_00.54.48,,
187,D1599-2021-03-16_01.03.45,,
188,D1600-2021-03-16_01.11.27,,
189,D1601-2021-03-16_01.17.53,,
190,D1602-2021-03-16_01.24.53,,
191,D1603-2021-03-16_01.32.23,,
192,D1605-2021-03-16_01.47.11,,
193,D1606-2021-03-16_01.54.50,,
194,D1690-2021-03-17_22.44.49,,
195,D1691-2021-03-17_22.52.58,,
196,D1692-2021-03-17_23.01.32,,
197,D1693-2021-03-17_23.09.54,,
198,D1694-2021-03-17_23.17.40,,
199,D1700-2021-03-18_00.10.05,,
200,D1702-2021-03-18_00.23.34,,
201,D1704-2021-03-18_00.39.29,,
202,D1705-2021-03-18_00.47.09,,
203,D1707-2021-03-18_01.04.42,,
204,D1708-2021-03-18_01.15.15,,
205,D1709-2021-03-18_01.23.11,,
206,D1710-2021-03-18_01.32.36,,
207,D1720-2021-03-23_18.23.13,,
208,D1724-2021-03-23_18.55.11,,
209,D1730-2021-03-23_19.43.58,,
210,D1731-2021-03-23_19.51.19,,
211,D1794-2021-03-24_00.09.25,,
212,D1795-2021-03-24_00.16.44,,
213,D1797-2021-03-24_00.32.55,,
214,D1799-2021-03-24_00.48.30,,
215,D1800-2021-03-24_00.56.52,,
216,D1801-2021-03-24_01.03.51,,
217,D1802-2021-03-24_01.12.48,,
218,D1803-2021-03-24_01.21.21,,
219,D1804-2021-03-24_01.29.37,,
220,D1809-2021-03-24_02.07.40,,
221,D1810-2021-03-24_02.18.16,,
222,D1811-2021-03-24_02.26.14,,
223,D1813-2021-03-24_13.59.54,,
224,D1814-2021-03-24_14.09.46,,
225,D1816-2021-03-24_14.32.36,,
226,D1817-2021-03-24_14.44.24,,
227,D1818-2021-03-24_14.53.34,,
228,D1819-2021-03-24_15.04.18,,
229,D1828-2021-03-24_16.18.47,,
230,D1830-2021-03-24_16.35.10,,
231,D1831-2021-03-24_16.42.30,,
232,D1832-2021-03-24_16.50.10,,
233,D1833-2021-03-24_16.58.06,,
234,D1834-2021-03-24_17.06.52,,
235,D1836-2021-03-24_17.25.01,,
236,D1837-2021-03-24_17.33.20,,
237,D1850-2021-03-24_19.21.09,,
238,D1851-2021-03-24_19.28.39,,
239,D1852-2021-03-24_19.37.14,,
240,D1853-2021-03-24_19.47.38,,
241,D1854-2021-03-24_19.55.17,,
242,D1855-2021-03-24_20.03.17,,
243,D1856-2021-03-24_20.11.46,,
244,D1959-2021-02-17_14.29.06,,
245,D1966-2021-02-17_15.29.58,,
246,D1967-2021-02-17_15.37.53,,
247,D1969-2021-02-18_10.19.55,,
248,D1971-2021-02-18_10.36.35,,
249,D1972-2021-02-18_10.44.37,,
250,D1974-2021-02-18_11.00.51,,
251,D1975-2021-02-18_11.10.46,,
252,D1976-2021-02-18_11.18.41,,
253,D1977-2021-02-18_11.28.07,,
254,D1978-2021-02-18_11.36.50,,
255,D1979-2021-02-18_11.44.42,,
256,D1980-2021-02-18_11.53.24,,
257,D1981-2021-02-18_12.01.31,,
258,D1983-2021-02-18_12.19.11,,
259,D1984-2021-02-18_12.27.46,,
260,D1985-2021-02-18_12.37.56,,
261,D1986-2021-02-18_12.45.16,,
262,D1987-2021-02-18_12.53.21,,
263,D1988-2021-02-18_13.00.59,,
264,D1989-2021-02-18_13.08.13,,
265,D1990-2021-02-18_13.16.06,,
266,D1991-2021-02-18_13.24.41,,
267,D1992-2021-02-18_13.32.50,,
268,D2036-2021-02-18_21.29.05,,
269,D2037-2021-02-18_21.35.02,,
270,D2038-2021-02-18_21.44.20,,
271,D2042-2021-02-22_12.45.10,,
272,D2045-2021-02-22_13.10.00,,
273,D2046-2021-02-22_13.18.39,,
274,D2054-2021-02-22_14.23.55,,
275,D2055-2021-02-22_14.32.32,,
276,D2056-2021-02-22_14.42.14,,
277,D2057-2021-02-22_14.51.06,,
278,D2058-2021-02-22_14.59.33,,
279,D1056-2020-11-17_11.31.01,,
280,D1059-2020-11-17_11.09.04,,
281,D1070-2020-11-16_21.00.36,,
282,D1071-2020-11-16_20.52.28,,
283,D1073-2020-11-16_20.32.54,,
284,D1074-2020-11-16_20.24.43,,
285,D1075-2020-11-16_20.16.43,,
286,D1077-2020-11-16_20.04.02,,
287,D1079-2020-11-16_19.48.22,,
288,D1082-2020-11-16_19.25.13,,
289,D1083-2020-11-16_19.16.50,,
290,D1196-2021-02-22_23.55.44,,
291,D1210-2021-02-23_01.52.12,,
292,D1211-2021-02-23_02.00.14,,
293,D1212-2021-03-01_16.21.52,,
294,D1213-2021-03-01_16.31.04,,
295,D1246-2021-03-01_21.05.09,,
296,D1248-2021-03-01_21.22.30,,
297,D1257-2021-03-01_22.34.58,,
298,D1258-2021-03-01_22.44.05,,
299,D1260-2021-03-01_22.59.36,,
300,D1263-2021-03-01_23.28.23,,
301,D1291-2021-03-02_03.26.38,,
302,D1298-2021-03-02_04.23.52,,
303,D1308-2021-03-02_05.52.29,,
304,D1313-2021-03-03_13.01.12,,
305,D1314-2021-03-03_13.08.11,,
306,D1316-2021-03-03_13.25.17,,
307,D1318-2021-03-03_13.43.28,,
308,D1325-2021-03-03_14.55.56,,
309,D1326-2021-03-03_15.04.15,,
310,D1327-2021-03-03_15.14.28,,
311,D1330-2021-03-03_15.47.14,,
312,D1332-2021-03-05_10.33.05,,
313,D1334-2021-03-05_10.50.31,,
314,D1369-2021-03-10_17.13.25,,
315,D1412-2021-03-11_11.27.21,,
316,D1413-2021-03-11_11.36.34,,
317,D1415-2021-03-11_11.54.48,,
318,D1416-2021-03-11_12.04.09,,
319,D1418-2021-03-11_12.21.33,,
320,D1419-2021-03-11_12.29.52,,
321,D1440-2021-03-11_15.34.18,,
322,D1441-2021-03-11_15.41.47,,
323,D1445-2021-03-11_16.09.41,,
324,D1446-2021-03-11_16.18.13,,
325,D1460-2021-03-11_18.25.35,,
326,D1461-2021-03-11_18.33.59,,
327,D1462-2021-03-12_09.42.51,,
328,D1499-2021-03-12_14.36.48,,
329,D1500-2021-03-12_14.45.46,,
330,D1502-2021-03-12_15.05.06,,
331,D1503-2021-03-12_15.14.19,,
332,D1537-2021-03-15_14.35.37,,
333,D1538-2021-03-15_14.46.05,,
334,D1540-2021-03-15_15.01.14,,
335,D1557-2021-03-15_18.35.43,,
336,D1558-2021-03-15_18.43.50,,
337,D1559-2021-03-15_18.58.09,,
338,D1563-2021-03-15_19.43.38,,
339,D1604-2021-03-16_01.39.56,,
340,D1722-2021-03-23_18.37.29,,
341,D1723-2021-03-23_18.45.47,,
342,D1726-2021-03-23_19.08.20,,
343,D1727-2021-03-23_19.18.24,,
344,D1808-2021-03-24_02.00.56,,
345,D1812-2021-03-24_13.49.52,,
346,D1957-2021-02-17_14.11.43,,
347,D1960-2021-02-17_14.37.31,,
